record_id,source_image,source_xml,raw_folder,raw_filename,raw_class_name,normalized_class_id,normalized_class_name,xmin,ymin,xmax,ymax,box_width,box_height,status,reason
img_01_3402617700_00001,data/raw/GC10-DET/3/img_01_3402617700_00001.jpg,data/raw/GC10-DET/lable/img_01_3402617700_00001.xml,3,img_01_3402617700_00001.jpg,3_yueyawan,2,crescent_gap,1738.0,806.0,1948.0,993.0,210.0,187.0,candidate,
img_01_3402617700_01009,data/raw/GC10-DET/3/img_01_3402617700_01009.jpg,data/raw/GC10-DET/lable/img_01_3402617700_01009.xml,3,img_01_3402617700_01009.jpg,3_yueyawan,2,crescent_gap,1756.0,298.0,1967.0,858.0,211.0,560.0,candidate,
img_01_3436789500_00004,data/raw/GC10-DET/9/img_01_3436789500_00004.jpg,data/raw/GC10-DET/lable/img_01_3436789500_00004.xml,9,img_01_3436789500_00004.jpg,9_zhehen,8,crease,981.0,182.0,2046.0,249.0,1065.0,67.0,candidate,
img_01_3436789500_00004,data/raw/GC10-DET/9/img_01_3436789500_00004.jpg,data/raw/GC10-DET/lable/img_01_3436789500_00004.xml,9,img_01_3436789500_00004.jpg,9_zhehen,8,crease,478.0,179.0,711.0,244.0,233.0,65.0,candidate,
img_01_3436814600_00259,data/raw/GC10-DET/6/img_01_3436814600_00259.jpg,data/raw/GC10-DET/lable/img_01_3436814600_00259.xml,6,img_01_3436814600_00259.jpg,6_siban,5,silk_spot,746.0,17.0,1011.0,993.0,265.0,976.0,candidate,
img_01_3436815300_00473,data/raw/GC10-DET/6/img_01_3436815300_00473.jpg,data/raw/GC10-DET/lable/img_01_3436815300_00473.xml,6,img_01_3436815300_00473.jpg,6_siban,5,silk_spot,814.0,17.0,1522.0,978.0,708.0,961.0,candidate,
img_01_3436815300_00477,data/raw/GC10-DET/6/img_01_3436815300_00477.jpg,data/raw/GC10-DET/lable/img_01_3436815300_00477.xml,6,img_01_3436815300_00477.jpg,6_siban,5,silk_spot,788.0,13.0,1367.0,984.0,579.0,971.0,candidate,
img_01_3436815300_00478,data/raw/GC10-DET/6/img_01_3436815300_00478.jpg,data/raw/GC10-DET/lable/img_01_3436815300_00478.xml,6,img_01_3436815300_00478.jpg,6_siban,5,silk_spot,786.0,16.0,1375.0,984.0,589.0,968.0,candidate,
img_01_3437011300_00918,data/raw/GC10-DET/6/img_01_3437011300_00918.jpg,data/raw/GC10-DET/lable/img_01_3437011300_00918.xml,6,img_01_3437011300_00918.jpg,6_siban,5,silk_spot,1315.0,1.0,1808.0,963.0,493.0,962.0,candidate,
img_01_424799300_01133,data/raw/GC10-DET/3/img_01_424799300_01133.jpg,data/raw/GC10-DET/lable/img_01_424799300_01133.xml,3,img_01_424799300_01133.jpg,3_yueyawan,2,crescent_gap,1696.0,484.0,1911.0,1000.0,215.0,516.0,candidate,
img_01_424799600_00001,data/raw/GC10-DET/3/img_01_424799600_00001.jpg,data/raw/GC10-DET/lable/img_01_424799600_00001.xml,3,img_01_424799600_00001.jpg,3_yueyawan,2,crescent_gap,1688.0,1.0,1904.0,340.0,216.0,339.0,candidate,
img_01_424799600_00002,data/raw/GC10-DET/3/img_01_424799600_00002.jpg,data/raw/GC10-DET/lable/img_01_424799600_00002.xml,3,img_01_424799600_00002.jpg,3_yueyawan,2,crescent_gap,1667.0,781.0,1888.0,1000.0,221.0,219.0,candidate,
img_01_424825700_00001,data/raw/GC10-DET/3/img_01_424825700_00001.jpg,data/raw/GC10-DET/lable/img_01_424825700_00001.xml,3,img_01_424825700_00001.jpg,3_yueyawan,2,crescent_gap,1199.0,774.0,1391.0,1000.0,192.0,226.0,candidate,
img_01_424826100_00001,data/raw/GC10-DET/3/img_01_424826100_00001.jpg,data/raw/GC10-DET/lable/img_01_424826100_00001.xml,3,img_01_424826100_00001.jpg,3_yueyawan,2,crescent_gap,1210.0,716.0,1415.0,998.0,205.0,282.0,candidate,
img_01_424826300_00950,data/raw/GC10-DET/3/img_01_424826300_00950.jpg,data/raw/GC10-DET/lable/img_01_424826300_00950.xml,3,img_01_424826300_00950.jpg,3_yueyawan,2,crescent_gap,1131.0,1.0,1432.0,432.0,301.0,431.0,candidate,
img_01_424826800_00002,data/raw/GC10-DET/3/img_01_424826800_00002.jpg,data/raw/GC10-DET/lable/img_01_424826800_00002.xml,3,img_01_424826800_00002.jpg,3_yueyawan,2,crescent_gap,1237.0,1.0,1487.0,327.0,250.0,326.0,candidate,
img_01_424826800_00003,data/raw/GC10-DET/3/img_01_424826800_00003.jpg,data/raw/GC10-DET/lable/img_01_424826800_00003.xml,3,img_01_424826800_00003.jpg,3_yueyawan,2,crescent_gap,1256.0,795.0,1470.0,1000.0,214.0,205.0,candidate,
img_01_424995500_00255,data/raw/GC10-DET/4/img_01_424995500_00255.jpg,data/raw/GC10-DET/lable/img_01_424995500_00255.xml,4,img_01_424995500_00255.jpg,4_shuiban,3,water_spot,1169.0,317.0,1577.0,809.0,408.0,492.0,candidate,
img_01_424995500_00289,data/raw/GC10-DET/4/img_01_424995500_00289.jpg,data/raw/GC10-DET/lable/img_01_424995500_00289.xml,4,img_01_424995500_00289.jpg,4_shuiban,3,water_spot,1240.0,8.0,1672.0,328.0,432.0,320.0,candidate,
img_01_425000300_00103,data/raw/GC10-DET/4/img_01_425000300_00103.jpg,data/raw/GC10-DET/lable/img_01_425000300_00103.xml,all,img_01_425000300_00103.jpg,4_shuiban,3,water_spot,1191.0,327.0,1591.0,744.0,400.0,417.0,candidate,
img_01_425000300_00103,data/raw/GC10-DET/4/img_01_425000300_00103.jpg,data/raw/GC10-DET/lable/img_01_425000300_00103.xml,all,img_01_425000300_00103.jpg,4_shuiban,3,water_spot,1223.0,124.0,1294.0,213.0,71.0,89.0,candidate,
img_01_425000300_00103,data/raw/GC10-DET/4/img_01_425000300_00103.jpg,data/raw/GC10-DET/lable/img_01_425000300_00103.xml,all,img_01_425000300_00103.jpg,4_shuiban,3,water_spot,1438.0,28.0,1500.0,84.0,62.0,56.0,candidate,
img_01_425000300_00520,data/raw/GC10-DET/4/img_01_425000300_00520.jpg,data/raw/GC10-DET/lable/img_01_425000300_00520.xml,4,img_01_425000300_00520.jpg,4_shuiban,3,water_spot,1153.0,417.0,1608.0,932.0,455.0,515.0,candidate,
img_01_425000300_00630,data/raw/GC10-DET/4/img_01_425000300_00630.jpg,data/raw/GC10-DET/lable/img_01_425000300_00630.xml,4,img_01_425000300_00630.jpg,4_shuiban,3,water_spot,1372.0,1.0,1564.0,119.0,192.0,118.0,candidate,
img_01_425000300_00743,data/raw/GC10-DET/4/img_01_425000300_00743.jpg,data/raw/GC10-DET/lable/img_01_425000300_00743.xml,4,img_01_425000300_00743.jpg,4_shuiban,3,water_spot,1230.0,1.0,1760.0,364.0,530.0,363.0,candidate,
